plcyNo,title,embedding_text
20250519005400210852,희망두배 청년통장.,"희망두배 청년통장 정책은 서울특별시가 시행하고 돌봄고독정책관이 주관합니다. 이 정책의 주요 키워드는 금리혜택입니다. 정책 분야는 복지문화 및 취약계층 및 금융지원으로 분류됩니다. 이 정책은 학자금 대출, 주거비, 비정규직 취업 등으로 어려움을 겪고 있는 청년의 자립지원을 통하여 저소득 근로청년의 자립의욕 고취 내용을 주로 다룹니다. 주요 지원 내용은 본인저축액. 월 15만원 매칭지원액. 본인저축액과 동일한 금액 매월 적립 약정기간. 24개월(2년) 또는 36개월(3년) 중 선택 적립금 총액 [15만원2년] 총 720만원 [15만원3년] 총 1,080만원 저축방법. 매월 자동이체입니다. 지원 연령 조건은 만 18세부터 34세까지입니다. 소득 조건은 본인소득. 세전 월 255만원 이하, 부양의무자. 고소득(1억원), 고재산(9억원) 미만입니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청은 신청기간. 6. (월)부터 6. (금) 18. 00 신청기간 외 접수 불가 신청방법. 온라인 신청(PC만 신청 가능) 절차를 따릅니다. 신청 기간은 20250609부터 20250620입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250424005400210720,강동구 미취업 청년 어학 및 자격시험 응시료 지원.,"강동구 미취업 청년 어학 및 자격시험 응시료 지원 정책은 서울특별시 강동구가 시행하고 강동구가 주관합니다. 이 정책의 주요 키워드는 장기미취업청년,보조금입니다. 정책 분야는 일자리 및 취업으로 분류됩니다. 이 정책은 강동구 미취업 청년들에게 어학 및 자격시험 응시료를 지원하여 취업 준비에 대한 경제적 부담 완화 및 취업역량 강화를 통해 청년들의 적극적인 구직활동 촉진에 기여하고자 함 내용을 주로 다룹니다. 주요 지원 내용은 강동구 거주중인 미취업 청년 대상으로 1인당 최대 10만원 응시료 실비지원(생애1회)입니다. 지원 연령 조건은 만 19세부터 39세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강동구입니다. 신청은 공고문 확인 후 신청서 및 서류 준비하여 이메일 접수(exam_fee@gangdong. go. kr) 절차를 따릅니다. 제출 서류는 공고 참조과 같습니다. 신청 기간은 20250501부터 20251231입니다. 사업 진행 기간은 20250501부터 20251231까지입니다."
20250404005400210690,서울 동아리ON(대학생 동아리 사회 기여 활동 지원) 사업.,"서울 동아리ON(대학생 동아리 사회 기여 활동 지원) 사업 정책은 서울특별시가 시행합니다. 이 정책의 주요 키워드는 보조금입니다. 정책 분야는 참여권리 및 정책인프라구축, 청년참여로 분류됩니다. 이 정책은 서울시 대학생 동아리를 대상으로 사회 기여 활동을 위한 활동비를 지원하여 동아리 활동 활성화를 통한 사회적 관계 회복과 함께 지역 사회 문제 해결에 기여할 수 있도록 지원하는 사업 내용을 주로 다룹니다. 주요 지원 내용은 모집 대상 지원대상. 서울 소재 대학 소속 동아리(최대 200개) 대학 학부생 10명 이상으로 구성된 중앙동아리 또는 단과대학학과동아리 등 타 대학과 연합(5개교 이상 참여)하여 구성한 동아리 지원제외 동일 유사사업으로 국가, 지방자치단체, 공공기관 등으로부터 국비시비구비 등을 지원받고 있거나 지원받을 예정인 동아리 공고일 기준 설립 6개월 미만 동아리 지원 내용 사회 기여 참여 동아리 활동비 최대 200만원 연합동아리의 경우 최대 500만원 지원 활동 개요 활동기간. 5월부터 11월 활동장소. 서울시 내 활동내용. 서울 시정가치(동행매력)와 연계된 사회 기여 활동 신청 방법 신청기간. 3. (수) 10. 00 ∼ 4. (금) 18. 00 [45일 간] 신청방법. 이메일 접수(서울시 청년정책담당관) 접수처. jina7900@seoul. go. kr, kim6521954@seoul. go. kr 문의사항 문의처. 서울시 미래청년기획관 청년정책담당관(02-2133-6588/4328)입니다. 지원 연령 조건은 만 0세부터 0세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청 기간은 20250312부터 20250425입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250317005400210643,서울 러닝크루.,"서울 러닝크루 정책은 서울특별시가 시행하고 체육진흥과가 주관합니다. 이 정책의 주요 키워드는 맞춤형상담서비스입니다. 정책 분야는 복지문화 및 취약계층 및 금융지원으로 분류됩니다. 이 정책은 목요일 저녁 7시부터 9시까지 도심 속 야간 코스를 함께 뛰며 친구(79)가 될 수 있는 ‘7979 서울 러닝크루’를 통해 서울시 청년들의 건강한 생활체육 경험기회 확대 내용을 주로 다룹니다. 주요 지원 내용은 사업 근거 서울특별시 체육진흥 조례 제16조(생활체육의 진흥), 제18조(재정지원) 생활체육도시 ‘서울’ 만들기 종합계획(’22. 6. 9. 시장방침 제126호) 추진 경과 (‘22년) 7979 서울 어반 러닝크루 시범사업 운영 (‘23년) 7979 서울 러닝크루 사업 운영(2개 권역) (‘24년) 7979 서울 러닝크루 사업 운영(3개 권역) 사업 기간. ‘22년부터 (계속사업) 사업 대상. 서울시 모든 시민, 청년 등 사업 내용 참가인원. 1권역당 40부터 60명 참여 3개 권역 진행 시 5,400여명 참 가 비. 무료 내 용. 러닝주법 강습 및 러닝 전․후 스트레칭 안전한 도심 러닝을 위한 런티켓 및 안전 교육 등 사 업 비. 400백만원입니다. 지원 연령 조건은 만 0세부터 0세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청 기간은 20250401부터 20251031입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250317005400210642,청년예술지원사업.,"청년예술지원사업 정책은 서울특별시가 시행하고 서울문화재단이 주관합니다. 이 정책의 주요 키워드는 보조금입니다. 정책 분야는 복지문화 및 예술인지원으로 분류됩니다. 이 정책은 경력이 부족한 청년예술인의 지원 확대를 통해 안전한 예술창작 활동 기반 마련 청년계층 지원 신설을 통해 경력단계별 예술 창작활동 활성화 도모 내용을 주로 다룹니다. 주요 지원 내용은 데뷔 경험이 없는 청년예술인 대상 첫 작품 발표 지원 창작지원금 외 작품 개발 및 상호 교류를 위한 간접지원 제공 지원규모. 최대 1천만원 창작지원금(직접지원) 및 역량강화 프로그램, 멘토링, 네트워킹, 발표공간 등(간접지원) [지원금] 최대 1,000만원 이내 지원금 사용가능 항목. 사례비(본인 사례비의 경우 지원금 내 20% 이하), 홍보비, 제작비, 재료비, 발간비, 대관료, 임차료, 공공요금 및 제세, 용역비, 회계검증수수료 [작품개발] 멘토링. 예술계 전문가와 1. 1 멘토링 진행 2회(필수) 성과공유회. 작품 제작부터 최종 발표 과정 공유 및 다양한 피드백 진행 (발표시기별 진행시기 상이 / 예술계 전문가, 심의위원, 멘토, 일반관객 등 참여)(필수) [교육네트워킹] 교육. 역량강화 특강, 워크숍 등 동시대 창작이슈 및 현장실무 관련 교육프로그램 운영 네트워킹. 청년예술청 운영 사업과 연계한 선정자 및 청년예술인 네트워킹 프로그램 [통합홍보] 2025년 서울문화재단 청년예술지원사업 선정작품 온라인홍보(홈페이지,SNS), 사진촬영, 리뷰 등 [발표 공간(희망 시)] 장소. 청년예술청 그레이룸(공연형) 또는 화이트룸(전시형) 발표공간 지원 가능 기간. 25년 6월부터 7월, 9월부터 11월 희망 신청자에 한하여 공간지원 여부 동시 발표 예정 지원내용은 매년 변경되오니 자세한 내용은 공지사항을 확인하시기 바랍니다. 지원 연령 조건은 만 19세부터 39세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청 기간은 20250101부터 20250331입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250317005400210641,청년예술청 운영.,"청년예술청 운영 정책은 서울특별시가 시행하고 서울문화재단이 주관합니다. 이 정책의 주요 키워드는 보조금입니다. 정책 분야는 복지문화 및 예술인지원으로 분류됩니다. 이 정책은 청년예술인의 예술생태계 안착 지원 및 창작교육교류 활성화를 위한 ‘청년예술인 종합지원 플랫폼’ 운영 내용을 주로 다룹니다. 주요 지원 내용은 1) 청년예술인 창업지원 프로그램 운영 운영목적. 청년예술인의 新산업 콘텐츠 발굴 및 청년예술인 자생력 제고 주요대상. 예술창업에 관심이 있는 청년예술인 및 기획자 주요내용. 청년예술인 창업 기초부터 준비, 실행까지 단계별 지원 2) 청년예술인 커뮤니티 사업 운영 운영목적. 청년예술인들의 능동적 상호작용을 통한 협업 촉진 및 교류 기회 확대 주요대상. 청년예술인 누구나(제한없음) 추진내용. 청년예술 현장 이슈별 기획발표형 프로젝트 운영 3) 공간 및 대관 운영 운영목적. 청년예술인을 위한 자유로운 창작 활동 기반 제공 위치. 서울시 서대문구 경기대로 26-26(충정로 역세권 청년주택 B2) 규모. 연면적 1,877㎡, 총 6개소(연습실,회의실,미디어실,다목적홀,전시실,공유오피스) 주요대상. 청년예술인(제한없음) 대관운영. 재단 통합시스템을 통한 월별분기별 대관 운영입니다. 지원 연령 조건은 만 19세부터 39세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250316005400210640,서울청년문화패스 지원.,"서울청년문화패스 지원 정책은 서울특별시가 시행하고 문화정책과가 주관합니다. 이 정책의 주요 키워드는 바우처입니다. 정책 분야는 복지문화 및 문화활동으로 분류됩니다. 이 정책은 사회에 첫발을 내딛는 청년에게 공연 및 전시를 관람할 수 있는 문화이용권(카드)을 지급하여 청년의 문화권 향상 및 문화예술 활성화 도모 내용을 주로 다룹니다. 주요 지원 내용은 (사업 내용) 공연(연극/뮤지컬, 클래식/오페라, 무용, 국악) 및 전시를 관람할 수 있는 20만원 상당 문화이용권(카드) 지급 관람방법. 서울청년문화패스 홈페이지에서 예매 후 관람 예매기준. 예매 건당 7만원 이내 사용(추가금액 자부담) 뮤지컬은 지원기간 중 1회만 예매 가능합니다. 지원 연령 조건은 만 20세부터 23세까지입니다. 소득 조건은 생애최초 중위소득 150% 이하, 기수혜자 중위소득 120% 이하입니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청은 청년몽땅정보통(https://youth. seoul. go. kr)에서 온라인 신청 청년몽땅정보통 다음 교육문화 다음 서울청년문화패스 다음 신청하기 상황에 따라 신청기간 연장 가능 장애인 등 온라인 신청이 어려운 취약계층은 평일 업무시간(9부터 12시 / 13부터 18시) 콜센터를 통해 신청 가능 (☎ 1533-3427) 방문 신청이나 우편 신청 불가 절차를 따릅니다. 선정은 선정기준. 아래의 우선 순위에 따라 선정 1순위. 생애 최초 수혜자 2순위. 기수혜자(2023년 또는 2024년 수혜자 자격을 갖춘 신청자가 선정인원보다 많을 경우 건강보험료 본인부담액이 낮은 순으로 선정 서울시 고립은둔 청년 지원사업 참여자가 신청하는 경우 지원조건 범위 내에서 우선 선발 발표일. 4. (월) 예정 발표일은 변동될 수 있으며, 자세한 내용은 청년몽땅정보통 공지사항 게시판 확인 발표방법. 개별 문자 발송 및 청년몽땅정보통 ‘마이페이지’ 확인이 필요합니다. 제출 서류는 동의서 작성(필수). 개인정보 수집이용, 고유식별정보 처리, 제3자 제공, 행정정보공동이용 동의 제출서류. 의무복무 제대군인 신청자 외에는 별도 제출서류 없음 (의무복무 제대군인) 병적증명서 또는 병역사항이 기재된 주민등록초본 원본 서류를 스캔 또는 다운로드 받아 업로드(화면 캡처, 사진 불인정)과 같습니다. 신청 기간은 20250321부터 20250430입니다. 사업 진행 기간은 20230101부터 20261231까지입니다."
20250316005400210639,청년인생설계학교 운영.,"청년인생설계학교 운영 정책은 서울특별시가 시행하고 청년정책담당관이 주관합니다. 이 정책의 주요 키워드는 교육지원입니다. 정책 분야는 교육 및 미래역량강화로 분류됩니다. 이 정책은 인생전환기 청년들에게 주체적인 인생설계 기회 제공 자기이해 및 진로탐색 프로그램을 제공하여 자존감 회복 및 자립역량 강화 내용을 주로 다룹니다. 주요 지원 내용은 (사업 근거) 청년기본법제19조(청년 능력개발 지원) 서울특별시 청년 기본 조례제11조(청년의 능력 등의 개발) (추진 경과) 2017년 서울청년의회’ 개최 및 갭이어 정책 제안(’17. 23. ) 2018년 청년인생설계학교 시범 사업 운영(’18. 부터 11. ) 2019년 청년인생설계학교 여름가을학기 운영(’19. 부터 11. ) 2020년 청년인생설계학교 여름가을학기 운영(’20. 부터 11. ) 2021년 청년인생설계학교 여름가을학기 운영(’21. 부터 11. ) 2022년 청년인생설계학교 운영(’22. 부터 12. ) ∙ 사업 추진방식 전면 개편(프로그램 전문성 향상, 시공간적 접근성 강화 등) ∙ 서울시에서 생활하는 만19부터 39세 청년 3,763명 중 1,000명 선정 2023년 청년인생설계학교 운영(’23. 부터 12. ) ∙ 서울시에서 생활하는 만19부터 39세 청년 4,130명 중 1,057명 선정 ∙ ’2023 청년자율예산’을 통한 대학 비진학청년 특화 코스 도입 2024년 청년인생설계학교 운영(’24. 부터 12. ) ∙ 서울시 거주 만 19부터 39세 청년 2,579명 중 1,026명 선정 ∙ 참여 만족도 4. 6점/5점, 사전-사후 지표 평균 17% 상승 (3. 50 다음 4. 10점) (사업 기간) ’18년부터 (사업 대상) 서울시 거주 청년 (연령 기준) 19부터 39세 (소득 기준) 무관 (기타 조건) 국민기초생활수급권자, 차상위계층, 기준중위소득 100% 이하 가구 등 취약 청년 우선선정(반 별 정원 50%이내) (사업 내용) 진로모색 단계 및 고민유형별 맞춤형 프로그램 운영 자기 진단도구 및 전문 강사가 진행하는 다회차 그룹 코칭 제공 참여자 대상 다각적 소통 프로그램 진행, 대상자 특화코스 운영 (사업비) 1,170백만원입니다. 지원 연령 조건은 만 19세부터 39세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청 기간은 20250401부터 20251130입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250316005400210638,서울교환학생장학금.,"서울교환학생장학금 정책은 서울특별시가 시행하고 재단법인서울장학재단이 주관합니다. 이 정책의 주요 키워드는 교육지원입니다. 정책 분야는 교육 및 교육비지원으로 분류됩니다. 이 정책은 해외 대학에서 학문과 문화를 경험하며 다양한 생각과 가치관을 존중하는 포용력을 지닌 글로벌 인재로 성장하도록 장학금 지원 내용을 주로 다룹니다. 주요 지원 내용은 장학금 아시아. 400만원 비아시아. 550만원 지원기간. 2025년 2학기입니다. 지원 연령 조건은 만 0세부터 0세까지입니다. 소득 조건은 기초생활수급자, 차상위게층, 학자금 4구간 이하입니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청은 신청기간. 12(월) 10. 00부터 5. 20(화) 16. 00 신청방법. 서울장학재단 [장학사업 신청] 다음 [서울해외교환학생장학금] 다음 상세페이지에서 [신청하기] 클릭 절차를 따릅니다. 선정은 1차 심사[사무국/서류심사]. 면접대상자 발표 6. 9(월) 예정 2차 심사[면접심사]. 대면 면접 6. 14(토) 3차 심사[최종심의]. 장학생 선정위원회 최종 합격자 발표. 30(월) 16. 00 예정입니다. 제출 서류는 ①부터 ⑥은 필수 제출, ⑦은 해당자만 제출 ① 온라인 신청 ② 신청자 체크리스트, 서약서(*서명 필수/HWP한글 또는 PDF 파일 업로드) ③ 자기소개서(*HWP한글 파일 업로드) ④ 재(휴)학증명서(*PDF 파일 업로드 / JPG(이미지) 파일 불가) ⑤ 성적증명서(*PDF 파일 업로드) ⑥ 경제상황증빙서류(택1) [기초생활수급자] 수급자 증명서. 생계/의료/보장시설/주거/교육급여 [법정차상위계층] 한부모가족 증명서 차상위계층 확인서 자활근로자 확인서 장애인연금, 장애수당, 장애아동수당 대상자 확인서 (비대상. 장애인 연금의 차상위 초과 부가급여에 체크된 자) 차상위 본인부담경감대상자 증명서(비대상. 공고일 5월 7일 전 자격 상실, 신청 종료일 5월 20일 후 자격 취득) [한국장학재단 학자금 지원구간] 한국장학재단 학자금 지원구간(소득분위) 통지서 (신청학기의 발급번호, 학자금 지원구간, 기관 직인 필수) (반드시 본인 명의의 통지서만 인정) ⑦ 가족관계 증명서(해당자만 제출)과 같습니다. 신청 기간은 20250512부터 20250520입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
20250316005400210637,독립유공자후손장학금.,"독립유공자후손장학금 정책은 서울특별시가 시행하고 재단법인서울장학재단이 주관합니다. 이 정책의 주요 키워드는 교육지원입니다. 정책 분야는 교육 및 미래역량강화로 분류됩니다. 이 정책은 독립유공자 예우와 학업에 대한 경제적 부담 완화를 위해독립유공자 증손 이하 후손에 대한 장학금 지원 내용을 주로 다룹니다. 주요 지원 내용은 (사업 근거) 서울특별시 장학재단 설립 및 운영에 관한 조례 서울특별시장 방침 제 156호(복지정책과-17715호, 19. 7. 19. ) (추진 경과) 2020년 독립운동 100주년 기념 독립유공자 후손 장학금 신설 2023년 장학생 선발인원 증원 (100명 다음 120명, 20명 증원) (사업 기간). ’20년부터 현재 (사업 대상) 대학생 (연령 기준) 무관 (소득 기준) 무관 (기타 조건) 독립유공자(순국선열, 애국지사)의 증손자녀 이하(4대부터 6대) 후손 (사업 내용) 연간 300만 원 장학금 지원 지역사회 선순환 프로그램 활동 추진. 현충원 단체 봉사활동 (사업비) 366백만원 (지방비 98. 4%, 기타 1. 6%)입니다. 지원 연령 조건은 만 0세부터 0세까지입니다. 소득 조건은 없습니다. 지원 대상 지역은 강남구, 강동구, 강북구, 강서구, 관악구, 광진구, 구로구, 금천구, 노원구, 도봉구, 동대문구, 동작구, 마포구, 서대문구, 서초구, 성동구, 성북구, 송파구, 양천구, 영등포구, 용산구, 은평구, 종로구, 중구, 그리고 중랑구입니다. 신청 기간은 20250401부터 20250630입니다. 사업 진행 기간은 20250101부터 20251231까지입니다."
