_id,plcyNo,plcyNm,plcyKywdNm,plcyExplnCn,clsfNm,plcySprtCn,sprvsnInstCdNm,operInstCdNm,sprtTrgtMinAge,sprtTrgtMaxAge,earnMinAmt,earnMaxAmt,earnEtcCn,zipNm,aplyYmd,plcyAplyMthdCn,srngMthdCn,etcMttrCn,addAplyQlfcCndCn,ptcpPrpTrgtCn,aplyUrlAddr,refUrlAddr1,refUrlAddr2,sprtArvlSeqYn,sprtSclCnt,lastMdfcnDt
682d402e2cc7e70652e07202,20250519005400210852,희망두배 청년통장.,금리혜택,"학자금 대출, 주거비, 비정규직 취업 등으로 어려움을 겪고 있는 청년의 자립지원을 통하여 저소득 근로청년의 자립의욕 고취.","금융지원, 복지문화, 취약계층","본인저축액은 월 15만원. 매칭지원액은 본인저축액과 동일한 금액 매월 적립. 약정기간은 24개월(2년) 또는 36개월(3년) 중 선택. 적립금 총액. [15만원2년] 총 720만원. [15만원3년] 총 1,080만원. 저축방법은 매월 자동이체.",돌봄고독정책관,,18,34,0,0,"본인소득은 세전 월 255만원 이하, 부양의무자: 고소득(1억원), 고재산(9억원) 미만.",,"기간, 2025-06-09, 2025-06-20",신청기간은 2025. 6. 9.(월)부터 6. (금) 18:00 신청기간 외 접수 불가. 은 온라인 신청(PC만 신청 가능).,,"(사업 근거). 서울특별시 주민생활안정 지원에 관한 조례제45조 및 시행규칙 제23조. 희망두배 청년통장 저소득 근로청년 자립지원 계획(행정1부시장방침 제56호, ’15.6.6). (추진 경과). 희망두배 청년통장 신규 출시(’15년 1,000명). 희망두배 청년통장 선발 확대. (’18년 2,000명, ’19부터 ’20년 각 3,000명, ’21부터 ’22 7,000명, ’23부터 ’24 10,000명). (사업 기간). ’25. 1월부터 ’25. 12월. (사업비) 46,307백만원 (시비 45,307, 민간재원 1,000).",,,https://account.welfare.seoul.kr,https://youth.seoul.go.kr/content.do?key=2310100069,,N,10000,2025-05-20 10:41:19
682d402e2cc7e70652e07203,20250424005400210720,강동구 미취업 청년 어학 및 자격시험 응시료 지원.,"보조금, 장기미취업청년",강동구 미취업 청년들에게 어학 및 자격시험 응시료를 지원하여 취업 준비에 대한 경제적 부담 완화 및 취업역량 강화를 통해 청년들의 적극적인 구직활동 촉진에 기여하고자 함.,"일자리, 취업",강동구 거주중인 미취업 청년 대상으로 1인당 최대 10만원 응시료 실비지원(생애1회).,강동구,,19,39,0,0,,강동구,"기간, 2025-05-01, 2025-12-31",공고문 확인 후 신청서 및 서류 준비하여 이메일 접수(exam_fee@gangdong.go.kr).,,,,,https://www.gangdong.go.kr/web/newportal/notice/01/53129,,,Y,500,2025-04-28 09:22:43
682d402f2cc7e70652e07204,20250404005400210690,서울 동아리ON(대학생 동아리 사회 기여 활동 지원) 사업.,보조금,서울시 대학생 동아리를 대상으로 사회 기여 활동을 위한 활동비를 지원하여 동아리 활동 활성화를 통한 사회적 관계 회복과 함께 지역 사회 문제 해결에 기여할 수 있도록 지원하는 사업.,"정책인프라구축, 참여권리, 청년참여","모집 대상. 지원대상은 서울 소재 대학 소속 동아리(최대 200개). 대학 학부생 10명 이상으로 구성된 중앙동아리 또는 단과대학학과동아리 등. 타 대학과 연합(5개교 이상 참여)하여 구성한 동아리. 지원제외. 동일 유사사업으로 국가, 지방자치단체, 공공기관 등으로부터 국비시비구비 등을 지원받고 있거나 지원받을 예정인 동아리. 공고일 기준 설립 6개월 미만 동아리. 지원 내용. 사회 기여 참여 동아리 활동비 최대 200만원. 연합동아리의 경우 최대 500만원 지원. 활동 개요. 활동기간은 2025. 5월부터 11월. 활동장소는 서울시 내. 은 서울 시정가치(동행매력)와 연계된 사회 기여 활동. 신청 방법. 신청기간은 2025. 3. 12.(수) 10:00 ∼ 4. (금) 18:00 [45일 간]. 은 이메일 접수(서울시 청년정책담당관). 접수처는 jina7900@seoul.go.kr,kim6521954@seoul.go.kr. 사항. 처는 서울시 미래청년기획관 청년정책담당관(02-2133-6588/4328).",서울특별시,,0,0,0,0,,,"기간, 2025-03-12, 2025-04-25",,,,동아리 활동과 관련해서 다른 기관에서 지원 받은 것이 있으면 제한될 수 있음.,,,https://news.seoul.go.kr/gov/archives/566450,,N,2000,2025-04-04 14:54:25
682d402f2cc7e70652e07205,20250317005400210643,서울 러닝크루.,맞춤형상담서비스,목요일 저녁 7시부터 9시까지 도심 속 야간 코스를 함께 뛰며 친구(79)가 될 수 있는 ‘7979 서울 러닝크루’를 통해 서울시 청년들의 건강한 생활체육 경험기회 확대.,"금융지원, 복지문화, 취약계층","사업 근거. 서울특별시 체육진흥 조례 제16조(생활체육의 진흥), 제18조(재정지원). 생활체육도시 ‘서울’ 만들기 종합계획(’22.6.9. 시장방침 제126호). 추진 경과. (‘22년) 7979 서울 어반 러닝크루 시범사업 운영. (‘23년) 7979 서울 러닝크루 사업 운영(2개 권역). (‘24년) 7979 서울 러닝크루 사업 운영(3개 권역). 사업 기간은 ‘22년부터 (계속사업). 사업 대상은 서울시 모든 시민, 청년 등. 참가인원은 1권역당 40부터 60명 참여 3개 권역 진행 시 5,400여명. 참 가 비는 무료. 내 용은 러닝주법 강습 및 러닝 전․후 스트레칭. 안전한 도심 러닝을 위한 런티켓 및 안전 교육 등. 사 업 비는 400백만원.",체육진흥과,,0,0,0,0,,,"기간, 2025-04-01, 2025-10-31",,,,,,,,,N,5400,2025-03-27 15:36:35
682d402f2cc7e70652e07206,20250317005400210642,청년예술지원사업.,보조금,경력이 부족한 청년예술인의 지원 확대를 통해 안전한 예술창작 활동 기반 마련. 청년계층 지원 신설을 통해 경력단계별 예술 창작활동 활성화 도모.,"복지문화, 예술인지원","데뷔 경험이 없는 청년예술인 대상 첫 작품 발표 지원. 창작지원금 외 작품 개발 및 상호 교류를 위한 간접지원 제공. 지원규모는 최대 1천만원 창작지원금(직접지원) 및 역량강화 프로그램, 멘토링, 네트워킹, 발표공간 등(간접지원). [지원금]. 최대 1,000만원 이내. 지원금 사용가능 항목은 사례비(본인 사례비의 경우 지원금 내 20% 이하), 홍보비, 제작비, 재료비, 발간비, 대관료, 임차료, 공공요금 및 제세, 용역비, 회계검증수수료. [작품개발]. 멘토링은 예술계 전문가와 1:1 멘토링 진행 2회(필수). 성과공유회는 작품 제작부터 최종 발표 과정 공유 및 다양한 피드백 진행. (발표시기별 진행시기 상이 / 예술계 전문가, 심의위원, 멘토, 일반관객 등 참여)(필수). [교육네트워킹]. 교육은 역량강화 특강, 워크숍 등 동시대 창작이슈 및 현장실무 관련 교육프로그램 운영. 네트워킹은 청년예술청 운영 사업과 연계한 선정자 및 청년예술인 네트워킹 프로그램. [통합홍보]. 2025년 서울문화재단 청년예술지원사업 선정작품 온라인홍보(홈페이지,SNS), 사진촬영, 리뷰 등. [발표 공간(희망 시)]. 장소는 청년예술청 그레이룸(공연형) 또는 화이트룸(전시형) 발표공간 지원 가능. 기간은 25년 6월부터 7월, 9월부터 11월. 희망 신청자에 한하여 공간지원 여부 동시 발표 예정. 은 매년 변경되오니 자세한 내용은 공지사항을 확인하시기 바랍니다.",서울문화재단,,19,39,0,0,,,"기간, 2025-01-01, 2025-03-31",,,"사업내용. 사업근거. 대통령 공약사항 ‘청년 문화예술인 창작지원금 등 지원사업 확대’. 서울시장 공약사항 ‘약자와의 동행’. 서울특별시 청년 예술인 육성 및 지원 조례. 서울문화재단 ‘3대 전략, 10대 혁신안’ 中 “그물망 예술지원체계 수립”. 추진 경과. 서울문화재단 예술지원사업 통합 브랜딩(“경력단계별 예술인 및 단체의 창작발표 지원”) 목표에 따라 2023년 신진 트랙 신설을 통한 서울형 예술지원체계 발전을 도모. 청년예술인의 창작활동을 위한 세분화된 지원설계(직/간접지원)를 통해 해당 경력단계(첫 작품발표 및 미 데뷔) 예술인의 필요를 반영한 지원계획 수립. 현장 의견 수렴을 통해 지속적인 사업보완을 통한 추진 예정. 사업비는 700백만원.","서울에서 청년예술지원사업을 통해 ‘데뷔 첫 작품 발표’를 진행하고자하는 39세 이하 청년예술인(단체). ‘데뷔 및 첫 작품 발표’ 기준은 예술인으로서 대중에게 공개적으로 발표한 활동을 의미함(연출, 기획, 안무 / 개인전 개최 등). 작품발표는 서울에서 오프라인(실내/실외 모두 가능)으로 진행되어야 하며, 공개적으로 이루어져야 함.",,https://www.scas.kr/biz/list,https://www.sfac.or.kr/site/SFAC_KOR/12/11202070300002024093004.jsp,,N,50,2025-03-25 10:14:18
682d402f2cc7e70652e07207,20250317005400210641,청년예술청 운영.,보조금,청년예술인의 예술생태계 안착 지원 및 창작교육교류 활성화를 위한 ‘청년예술인 종합지원 플랫폼’ 운영.,"복지문화, 예술인지원","1) 청년예술인 창업지원 프로그램 운영. 운영목적은 청년예술인의 新산업 콘텐츠 발굴 및 청년예술인 자생력 제고. 주요대상은 예술창업에 관심이 있는 청년예술인 및 기획자. 주요내용은 청년예술인 창업 기초부터 준비, 실행까지 단계별 지원. 2) 청년예술인 커뮤니티 사업 운영. 운영목적은 청년예술인들의 능동적 상호작용을 통한 협업 촉진 및 교류 기회 확대. 주요대상은 청년예술인 누구나(제한없음). 추진내용은 청년예술 현장 이슈별 기획발표형 프로젝트 운영. 3) 공간 및 대관 운영. 운영목적은 청년예술인을 위한 자유로운 창작 활동 기반 제공. 위치는 서울시 서대문구 경기대로 26-26(충정로 역세권 청년주택 B2). 규모는 연면적 1,877㎡, 총 6개소(연습실,회의실,미디어실,다목적홀,전시실,공유오피스). 주요대상은 청년예술인(제한없음). 대관운영은 재단 통합시스템을 통한 월별분기별 대관 운영.",서울문화재단,,19,39,0,0,,,"None, None, None",,,"(사업 근거). 서울시문화예술과-2919(2016.10.19.)호 “서울예술인플랜” 中 지속가능한 예술환경 ‘예술청 조성’ 추진. 서울문화재단 대표이사방침 제353(2019.09.25.)호 “서울형 예술교육은 미래일자리 문화실험실 아카데미 기본계획(안) 충정로 청년예술청 조성사업)”. (추진 경과). 12월 충정로 청년주택 공공기여시설 청년예술청 조성 협의. 01월부터 11월 청년예술청 조성 관련 전문가 자문회의 (2회). 03월/06월 충정로3가 기업형임대주택 사업계획 승인/착공신고. 01월 청년예술청 기부채납 (등기 기준). 03월 공유재산심의회 심의 (공유재산 사용허가 ‘적정’ 통보). 2020.08.21. 개관 (코로나19로 개관프로젝트는 10월로 연기하여 진행). 2020.10.14.부터 17. 개관 프로젝트 진행. 2020.12.05.부터 2021.1.25 코로나19에 따른 1차 운영중단. 2021.10.01.부터 2021.10.14. 코로나19에 따른 2차 운영중단. 2021.10.15.부터 현재 공간 운영. (사업 기간) 2025년 1부터 12월. (사업 대상) 나이경력장르 등 행정 및 정책이 규정하는 기준이나 경계를 벗어나, 유연한 태도로 새로움을 추구하는 청년예술인. (연령 기준) 39세 이하 청년예술인 중심. (사업비) 900백만원.","나이경력장르 등 행정 및 정책이 규정하는 기준이나 경계를 벗어나, 유연한 태도로 새로움을 추구하는 청년예술인.",,,https://www.sapy.kr/MAIN,,N,30,2025-03-19 10:05:33
682d402f2cc7e70652e07208,20250316005400210640,서울청년문화패스 지원.,바우처,사회에 첫발을 내딛는 청년에게 공연 및 전시를 관람할 수 있는 문화이용권(카드)을 지급하여 청년의 문화권 향상 및 문화예술 활성화 도모.,"문화활동, 복지문화","(사업 내용). 공연(연극/뮤지컬, 클래식/오페라, 무용, 국악) 및 전시를 관람할 수 있는 20만원 상당 문화이용권(카드) 지급. 관람방법은 서울청년문화패스 홈페이지에서 예매 후 관람. 예매기준은 예매 건당 7만원 이내 사용(추가금액 자부담). 뮤지컬은 지원기간 중 1회만 예매 가능.",문화정책과,,20,23,0,0,"생애최초의 ‘중위소득 150% 이하, 기수혜자’를 거쳐 ‘중위소득 120% 이하’에서 확인할 수 있습니다.",,"기간, 2025-03-21, 2025-04-30",청년몽땅정보통(https://youth.seoul.go.kr)에서 온라인 신청. 청년몽땅정보통의 ‘교육문화’를 거쳐 ‘서울청년문화패스’를 거쳐 ‘신청하기. 상황에 따라 신청기간 연장 가능. 장애인 등 온라인 신청이 어려운 취약계층은 평일 업무시간(9부터 12시 / 13부터 18시) 콜센터를 통해 신청 가능 (☎ 1533-3427). 방문 신청이나 우편 신청 불가’에서 확인할 수 있습니다.,"선정기준은 아래의 우선 순위에 따라 선정. 1순위는 생애 최초 수혜자. 2순위는 기수혜자(2023년 또는 2024년 수혜자. 자격을 갖춘 신청자가 선정인원보다 많을 경우 건강보험료 본인부담액이 낮은 순으로 선정. 서울시 고립은둔 청년 지원사업 참여자가 신청하는 경우 지원조건 범위 내에서 우선 선발. 발표일은 2025. 4. 14.(월) 예정. 발표일은 변동될 수 있으며, 자세한 내용은 청년몽땅정보통 공지사항 게시판 확인. 발표방법은 개별 문자 발송 및 청년몽땅정보통 ‘마이페이지’ 확인.","콜센터는 ☎ 1533-3427 [평일 업무시간(9부터 12시/13부터 18시) 이용가능]. 사업내용. (사업 근거). 청년기본법 제23조(청년 문화활동 지원). 서울특별시 청년 기본 조례 제16조(청년 문화의 활성화 등). (추진 경과). 사회보장제도 신설 협의완료(보건복지부의 ‘서울시)는 ’22. 5. 관련 조례 개정을 통한 재정적 지원 근거 마련은 ’22. 17. ‣ 서울특별시 청년 기본 조례 제16조제3항(이용권 등 지급 규정) 신설. 서울형 청년문화패스 기본계획 수립은 ’22. 5. 서울시-서울문화재단-신한금융그룹 협약체결은 ’23. 8. 문화체육관광부 청년문화예술패스 사업 시행은 ’24. 28. (사업비) 5,847백만원 (지방비 5,847백만원). 문체부 청년문화예술패스 분담예산(1,311백만원) 포함’에서 확인할 수 있습니다.","(사업 대상). (연령 기준) 20부터 23세 제대군인 대상 복무기간을 감안하여 3년 이내 연령 가산. (대상 인원) 1만9천명. (소득 기준) 생애최초의 ‘중위소득 150% 이하, 기수혜자’를 거쳐 ‘중위소득 120% 이하. (기타 조건) 신청일 기준 주민등록 또는 외국인등록대장상 서울 거주’에서 확인할 수 있습니다.",,https://youth.seoul.go.kr/youthConts.do?key=2310200023&sc_pbancSeCd=005&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200005&sc_qnaCtgryCd=&sc_faqCtgryCd=002,https://youth.seoul.go.kr/infoData/sprtInfo/view.do?key=2309130006&sprtInfoId=58450,,N,27000,2025-03-19 17:38:27
682d402f2cc7e70652e07209,20250316005400210639,청년인생설계학교 운영.,교육지원,인생전환기 청년들에게 주체적인 인생설계 기회 제공. 자기이해 및 진로탐색 프로그램을 제공하여 자존감 회복 및 자립역량 강화.,"교육, 미래역량강화","(사업 근거). 청년기본법제19조(청년 능력개발 지원). 서울특별시 청년 기본 조례제11조(청년의 능력 등의 개발). (추진 경과). 2017년 서울청년의회’ 개최 및 갭이어 정책 제안(’17. 23.). 2018년 청년인생설계학교 시범 사업 운영(’18.부터 11.). 2019년 청년인생설계학교 여름가을학기 운영(’19.부터 11.). 2020년 청년인생설계학교 여름가을학기 운영(’20.부터 11.). 2021년 청년인생설계학교 여름가을학기 운영(’21.부터 11.). 2022년 청년인생설계학교 운영(’22.부터 12.). ∙ 사업 추진방식 전면 개편(프로그램 전문성 향상, 시공간적 접근성 강화 등). ∙ 서울시에서 생활하는 만19부터 39세 청년 3,763명 중 1,000명 선정. 2023년 청년인생설계학교 운영(’23.부터 12.). ∙ 서울시에서 생활하는 만19부터 39세 청년 4,130명 중 1,057명 선정. ∙ ’2023 청년자율예산’을 통한 대학 비진학청년 특화 코스 도입. 2024년 청년인생설계학교 운영(’24.부터 12.). ∙ 서울시 거주 만 19부터 39세 청년 2,579명 중 1,026명 선정. ∙ 참여 만족도 4.6점/5점, 사전-사후 지표 평균 17% 상승 (3.50의 ‘4.10점). (사업 기간) ’18년부터. (사업 대상) 서울시 거주 청년. (연령 기준) 19부터 39세. (소득 기준) 무관. (기타 조건) 국민기초생활수급권자, 차상위계층, 기준중위소득 100% 이하 가구 등 취약 청년 우선선정(반 별 정원 50%이내). (사업 내용) 진로모색 단계 및 고민유형별 맞춤형 프로그램 운영. 자기 진단도구 및 전문 강사가 진행하는 다회차 그룹 코칭 제공. 참여자 대상 다각적 소통 프로그램 진행, 대상자 특화코스 운영. (사업비) 1,170백만원’에서 확인할 수 있습니다.",청년정책담당관,,19,39,0,0,,,"기간, 2025-04-01, 2025-11-30",,,,"국민기초생활수급권자, 차상위계층, 기준중위소득 100% 이하 가구 등 취약 청년 우선선정(반 별 정원 50%이내).",,,,,N,1500,2025-03-27 15:37:06
682d402f2cc7e70652e0720a,20250316005400210638,서울교환학생장학금.,교육지원,해외 대학에서 학문과 문화를 경험하며 다양한 생각과 가치관을 존중하는 포용력을 지닌 글로벌 인재로 성장하도록 장학금 지원.,"교육, 교육비지원",장학금. 아시아는 400만원. 비아시아는 550만원. 지원기간은 2025년 2학기.,재단법인서울장학재단,,0,0,0,0,"기초생활수급자, 차상위게층, 학자금 4구간 이하.",,"기간, 2025-05-12, 2025-05-20",신청기간은 5.12(월) 10:00부터 5.20(화) 16:00. 은 서울장학재단 [장학사업 신청]의 ‘[서울해외교환학생장학금]’를 거쳐 ‘상세페이지에서 [신청하기] 클릭’에서 확인할 수 있습니다.,1차 심사[사무국/서류심사]는 면접대상자 발표 6.9(월) 예정. 2차 심사[면접심사]는 대면 면접 6.14(토). 3차 심사[최종심의]는 장학생 선정위원회. 최종 합격자 발표는 6.30(월) 16:00 예정.,(사업 근거)는 서울특별시 장학재단 설립 및 운영에 관한 조례. (추진 경과). ‘18년 서울교환학생장학금 신설. ‘19년 공항리무진과 기부 협약을 통한 교환학생 장학금 지원 규모 확대. ‘20부터 22년 코로나19로 사업 한시적 중단. (사업 기간)는 ‘18년부터 현재. (사업비) 316백만원.,"아래 ①부터 ③ 항목을 모두 충족해야 함. ① 대한민국 국적자이며 서울 소재 4년제 대학전문대학전공대학의 정규학기 학부생으로, 전체학년 성적 평점 평균 백분위(백분율) 85점 이상인 학생. ② 2025년 2학기 국내 소속 대학에서 파견하는 해외 교환학생 선정(예정) 학생. ③ 기초생활수급자, 차상위계층, 2024년 2학기 또는 2025년 1학기 한국장학재단 학자금 지원구간 중 복지자격 및 1부터 4구간.",,https://scholar.hissf.or.kr,https://www.hissf.or.kr/programs/user/news/ssfnews/read.asp?gbn_no=&idx=3976&pageno=&searchType=&searchVal=,,N,60,2025-05-14 15:18:34
682d402f2cc7e70652e0720b,20250316005400210637,독립유공자후손장학금.,교육지원,독립유공자 예우와 학업에 대한 경제적 부담 완화를 위해독립유공자 증손 이하 후손에 대한 장학금 지원.,"교육, 미래역량강화","(사업 근거). 서울특별시 장학재단 설립 및 운영에 관한 조례. 서울특별시장 방침 제 156호(복지정책과-17715호, 19.7.19.). (추진 경과). 2020년 독립운동 100주년 기념 독립유공자 후손 장학금 신설. 2023년 장학생 선발인원 증원 (100명의 ‘120명, 20명 증원). (사업 기간)는 ’20년부터 현재. (사업 대상) 대학생. (연령 기준) 무관. (소득 기준) 무관. (기타 조건) 독립유공자(순국선열, 애국지사)의 증손자녀 이하(4대부터 6대) 후손. (사업 내용). 연간 300만 원 장학금 지원. 지역사회 선순환 프로그램 활동 추진은 현충원 단체 봉사활동. (사업비) 366백만원 (지방비 98.4%, 기타 1.6%)’에서 확인할 수 있습니다.",재단법인서울장학재단,,0,0,0,0,,,"기간, 2025-04-01, 2025-06-30",,,,"독립유공자(순국선열, 애국지사)의 증손자녀 이하(4대부터 6대) 후손.",,,,,N,120,2025-03-27 15:38:15
